refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR1785238	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT01_T0	
SRR1785239	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT01_T0	
SRR1785240	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT02_T0	
SRR1785241	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT02_T0	
SRR1785242	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT03_T0	
SRR1785243	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT03_T0	
SRR1785244	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT04_T0	
SRR1785245	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT04_T0	
SRR1785246	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT05_T0	
SRR1785247	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT05_T0	
SRR1785248	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT06_T0	
SRR1785249	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT06_T0	
SRR1785250	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT07_T0	
SRR1785251	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT07_T0	
SRR1785252	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT08_T0	
SRR1785253	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT08_T0	
SRR1785254	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT09_T0	
SRR1785255	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT09_T0	
SRR1785256	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT10_T0	
SRR1785257	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT10_T0	
SRR1785258	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT11_T0	
SRR1785259	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT11_T0	
SRR1785260	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT12_T0	
SRR1785261	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT12_T0	
SRR1785262	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT13_T0	
SRR1785263	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT13_T0	
SRR1785264	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT14_T0	
SRR1785265	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT14_T0	
SRR1785266	SRP053101								HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	204	Tximport	v1.13.8-hotfix				SRA				SAT15_T0	
