,Group
SRR1785238,T0
SRR1785239,T0
SRR1785240,T0
SRR1785241,T0
SRR1785242,T0
SRR1785243,T0
SRR1785244,T0
SRR1785245,T0
SRR1785246,T0
SRR1785247,T0
SRR1785248,T0
SRR1785249,T0
SRR1785250,T0
SRR1785251,T0
SRR1785252,T0
SRR1785253,T0
SRR1785254,T0
SRR1785255,T0
SRR1785256,T0
SRR1785257,T0
SRR1785258,T0
SRR1785259,T0
SRR1785260,T0
SRR1785261,T0
SRR1785262,T0
SRR1785263,T0
SRR1785264,T0
SRR1785265,T0
SRR1785266,T0
SRR1785267,T0
SRR1785268,T0
SRR1785269,T0
SRR1785270,T0
SRR1785271,T0
SRR1785272,T0
SRR1785273,T0
SRR1785274,T0
SRR1785275,T0
SRR1785276,T0
SRR1785277,T0
SRR1785278,T0
SRR1785279,T0
SRR1785280,T0
SRR1785281,T0
SRR1785282,T3
SRR1785283,T3
SRR1785284,T3
SRR1785285,T3
SRR1785286,T3
SRR1785287,T3
SRR1785288,T3
SRR1785289,T3
SRR1785290,T3
SRR1785291,T3
SRR1785292,T3
SRR1785293,T3
SRR1785294,T3
SRR1785295,T3
SRR1785296,T3
SRR1785297,T3
SRR1785298,T3
SRR1785299,T3
SRR1785300,T3
SRR1785301,T3
SRR1785302,T3
SRR1785303,T3
SRR1785304,T3
SRR1785305,T3
SRR1785306,T3
SRR1785307,T3
SRR1785308,T3
SRR1785309,T3
SRR1785310,T3
SRR1785311,T3
SRR1785312,T3
SRR1785313,T3
SRR1785314,T3
SRR1785315,T3
SRR1785316,T3
SRR1785317,T3
SRR1785318,T3
SRR1785319,T3
SRR1785320,T3
SRR1785321,T3
SRR1785322,T3
SRR1785323,T3
SRR1785324,T3
SRR1785325,T3
