"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","47/218","169/18805",0.27810650887574,23.9898756853591,32.5126480559505,2.90284685076972e-52,9.20783021064156e-49,7.82546398402238e-49,"RPS20/EIF4B/RPL3/RPS16/RPL18A/RPL19/RPS13/RPS12/RPS25/RPL21/RPL23/RPS15A/RPL35/RPS6/RPLP1/RPS24/RPS2/RPL13A/RPL11/RPS8/RPL32/RPS3A/RPL37/RPL10/RPL7/FAU/RPL30/RPL8/RPL26/RPL29/RPL9/RPL13/RPL4/RPL15/RPLP2/RPS27/RPS23/RPL14/RPL37A/RPL12/RPS4X/RPL23A/RPL10A/RPL39/RPL41/RPS18/RPL36A",47
"GO:0042274","ribosomal small subunit biogenesis","14/218","108/18805",0.12962962962963,11.182042133877,11.4923679460717,2.78631163976197e-11,4.41909026066248e-08,3.75565479443705e-08,"RPS16/RPS13/RPS12/RPS25/RPS15A/RPS6/RPS24/RPS8/RPS3A/FAU/RPS27/NPM1/RPS23/RPS4X",14
"GO:0042254","ribosome biogenesis","20/218","317/18805",0.0630914826498423,5.44236390472607,8.63868255269123,9.13478112255898e-10,9.65850857358569e-07,8.20848226486791e-07,"RPS16/NOP53/RPS13/RPS12/RPS25/RPS15A/RPL35/RPS6/RPS24/RPL11/RPS8/RPS3A/RPL7/FAU/RPL26/RPS27/NPM1/RPS23/RPL14/RPS4X",20
"GO:0030199","collagen fibril organization","10/218","69/18805",0.144927536231884,12.5016620130302,10.3656234056421,6.67742929184993e-09,5.29520142843699e-06,4.50023589905991e-06,"AEBP1/LOX/FMOD/COL5A1/LOXL2/SFRP2/PLOD2/DDR2/COL3A1/COL5A2",10
"GO:0022613","ribonucleoprotein complex biogenesis","23/218","494/18805",0.0465587044534413,4.01622218920626,7.3573174012809,1.64669461873908e-08,1.04466306612807e-05,8.87828403913848e-06,"EIF4B/RPS16/NOP53/RPS13/RPS12/RPS25/RPS15A/RPL35/RPS6/RPS24/RPL13A/RPL11/RPS8/RPS3A/RPL7/FAU/RPL26/PRPF8/RPS27/NPM1/RPS23/RPL14/RPS4X",23
"GO:0070542","response to fatty acid","8/218","60/18805",0.133333333333333,11.5015290519878,8.8233632592869,4.37288770686238e-07,0.000182237542366451,0.000154878325479685,"PDK4/DGAT2/SCD/ALAD/AKR1C2/LPL/AKR1C1/AKR1C3",8
"GO:0030198","extracellular matrix organization","17/218","339/18805",0.0501474926253687,4.32579632486266,6.69202879703765,4.76339877688707e-07,0.000182237542366451,0.000154878325479685,"CCDC80/CST3/CAV2/AEBP1/ECM2/LOX/FMOD/COL5A1/LOXL2/LAMC1/SFRP2/PLOD2/DDR2/COL3A1/COL4A1/EGFL6/COL5A2",17
"GO:0043062","extracellular structure organization","17/218","340/18805",0.05,4.31307339449541,6.67643427511844,4.96324350463242e-07,0.000182237542366451,0.000154878325479685,"CCDC80/CST3/CAV2/AEBP1/ECM2/LOX/FMOD/COL5A1/LOXL2/LAMC1/SFRP2/PLOD2/DDR2/COL3A1/COL4A1/EGFL6/COL5A2",17
"GO:0045229","external encapsulating structure organization","17/218","341/18805",0.0498533724340176,4.30042508542065,6.66089966384575,5.17067427899767e-07,0.000182237542366451,0.000154878325479685,"CCDC80/CST3/CAV2/AEBP1/ECM2/LOX/FMOD/COL5A1/LOXL2/LAMC1/SFRP2/PLOD2/DDR2/COL3A1/COL4A1/EGFL6/COL5A2",17
"GO:0006066","alcohol metabolic process","17/218","368/18805",0.046195652173913,3.98490476665337,6.26264767254046,1.47807794166577e-06,0.000468846323096382,0.000398458695642741,"RETSAT/DGAT2/PLPP1/ASAH1/DHCR24/DHDDS/ACLY/RDH5/IDH1/VLDLR/AKR1C2/LRP5/LEP/AKR1C1/AKR1C3/ADH1B/CES1",17
"GO:0071398","cellular response to fatty acid","6/218","38/18805",0.157894736842105,13.6202317720908,8.43354993546878,4.58854304037992e-06,0.00132316895673501,0.00112452236616392,"PDK4/DGAT2/AKR1C2/LPL/AKR1C1/AKR1C3",6
"GO:2001046","positive regulation of integrin-mediated signaling pathway","4/218","12/18805",0.333333333333333,28.7538226299694,10.4151155649804,8.08564818141039e-06,0.00213730633595281,0.00181643377128,"LIMS2/CD63/LAMC1/FLNA",4
"GO:0042273","ribosomal large subunit biogenesis","7/218","65/18805",0.107692307692308,9.28969654199012,7.25035441415219,1.00564732806904e-05,0.00245377948048846,0.00208539498557474,"NOP53/RPL35/RPL11/RPL7/RPL26/NPM1/RPL14",7
"GO:0006364","rRNA processing","12/218","222/18805",0.0540540540540541,4.66278204810315,5.9453629082515,1.13925626477722e-05,0.00258122919419525,0.00219371074743945,"RPS16/NOP53/RPS25/RPL35/RPS6/RPS24/RPL11/RPS8/RPL7/RPL26/RPS27/RPL14",12
"GO:1901798","positive regulation of signal transduction by p53 class mediator","5/218","27/18805",0.185185185185185,15.9743459055386,8.43245038123535,1.31130884411502e-05,0.00277298110235524,0.00235667505247619,"RPS20/RPL23/RPL11/RPL37/RPL26",5
