Sample,Cluster_AP
SRR1785238,5
SRR1785239,5
SRR1785240,6
SRR1785241,5
SRR1785242,0
SRR1785243,0
SRR1785244,6
SRR1785245,6
SRR1785246,4
SRR1785247,4
SRR1785248,3
SRR1785249,3
SRR1785250,1
SRR1785251,1
SRR1785252,4
SRR1785253,1
SRR1785254,6
SRR1785255,6
SRR1785256,8
SRR1785257,8
SRR1785258,8
SRR1785259,2
SRR1785260,2
SRR1785261,2
SRR1785262,5
SRR1785263,0
SRR1785264,2
SRR1785265,2
SRR1785266,3
SRR1785267,3
SRR1785268,8
SRR1785269,0
SRR1785270,6
SRR1785271,6
SRR1785272,0
SRR1785273,4
SRR1785274,0
SRR1785275,5
SRR1785276,2
SRR1785277,5
SRR1785278,8
SRR1785279,8
SRR1785280,9
SRR1785281,3
SRR1785282,8
SRR1785283,8
SRR1785284,6
SRR1785285,6
SRR1785286,2
SRR1785287,2
SRR1785288,6
SRR1785289,5
SRR1785290,3
SRR1785291,3
SRR1785292,9
SRR1785293,9
SRR1785294,5
SRR1785295,5
SRR1785296,5
SRR1785297,5
SRR1785298,5
SRR1785299,5
SRR1785300,8
SRR1785301,5
SRR1785302,5
SRR1785303,5
SRR1785304,6
SRR1785305,9
SRR1785306,6
SRR1785307,9
SRR1785308,4
SRR1785309,1
SRR1785310,5
SRR1785311,5
SRR1785312,2
SRR1785313,2
SRR1785314,6
SRR1785315,6
SRR1785316,5
SRR1785317,8
SRR1785318,7
SRR1785319,7
SRR1785320,8
SRR1785321,8
SRR1785322,5
SRR1785323,5
SRR1785324,6
SRR1785325,9
