Sample,Cluster_GMM
SRR1785238,0
SRR1785239,0
SRR1785240,0
SRR1785241,0
SRR1785242,1
SRR1785243,1
SRR1785244,0
SRR1785245,0
SRR1785246,1
SRR1785247,1
SRR1785248,1
SRR1785249,1
SRR1785250,1
SRR1785251,1
SRR1785252,1
SRR1785253,1
SRR1785254,0
SRR1785255,0
SRR1785256,0
SRR1785257,0
SRR1785258,0
SRR1785259,1
SRR1785260,1
SRR1785261,1
SRR1785262,0
SRR1785263,1
SRR1785264,1
SRR1785265,1
SRR1785266,1
SRR1785267,1
SRR1785268,0
SRR1785269,1
SRR1785270,0
SRR1785271,0
SRR1785272,1
SRR1785273,1
SRR1785274,1
SRR1785275,0
SRR1785276,1
SRR1785277,0
SRR1785278,0
SRR1785279,0
SRR1785280,1
SRR1785281,1
SRR1785282,0
SRR1785283,0
SRR1785284,0
SRR1785285,0
SRR1785286,1
SRR1785287,1
SRR1785288,0
SRR1785289,0
SRR1785290,1
SRR1785291,1
SRR1785292,1
SRR1785293,1
SRR1785294,0
SRR1785295,0
SRR1785296,0
SRR1785297,0
SRR1785298,0
SRR1785299,0
SRR1785300,0
SRR1785301,0
SRR1785302,0
SRR1785303,0
SRR1785304,0
SRR1785305,1
SRR1785306,0
SRR1785307,1
SRR1785308,1
SRR1785309,1
SRR1785310,0
SRR1785311,0
SRR1785312,1
SRR1785313,1
SRR1785314,0
SRR1785315,0
SRR1785316,0
SRR1785317,0
SRR1785318,1
SRR1785319,1
SRR1785320,0
SRR1785321,0
SRR1785322,0
SRR1785323,0
SRR1785324,0
SRR1785325,1
