Sample,Cluster_k3
SRR1785238,0
SRR1785239,0
SRR1785240,0
SRR1785241,0
SRR1785242,0
SRR1785243,0
SRR1785244,1
SRR1785245,1
SRR1785246,0
SRR1785247,0
SRR1785248,0
SRR1785249,0
SRR1785250,0
SRR1785251,0
SRR1785252,0
SRR1785253,0
SRR1785254,0
SRR1785255,0
SRR1785256,0
SRR1785257,0
SRR1785258,0
SRR1785259,0
SRR1785260,1
SRR1785261,1
SRR1785262,0
SRR1785263,0
SRR1785264,0
SRR1785265,0
SRR1785266,0
SRR1785267,0
SRR1785268,0
SRR1785269,0
SRR1785270,0
SRR1785271,0
SRR1785272,0
SRR1785273,0
SRR1785274,0
SRR1785275,0
SRR1785276,0
SRR1785277,0
SRR1785278,0
SRR1785279,0
SRR1785280,2
SRR1785281,2
SRR1785282,0
SRR1785283,0
SRR1785284,1
SRR1785285,1
SRR1785286,1
SRR1785287,1
SRR1785288,1
SRR1785289,1
SRR1785290,1
SRR1785291,1
SRR1785292,2
SRR1785293,2
SRR1785294,1
SRR1785295,1
SRR1785296,1
SRR1785297,1
SRR1785298,1
SRR1785299,1
SRR1785300,1
SRR1785301,1
SRR1785302,1
SRR1785303,1
SRR1785304,1
SRR1785305,1
SRR1785306,0
SRR1785307,0
SRR1785308,0
SRR1785309,0
SRR1785310,1
SRR1785311,1
SRR1785312,0
SRR1785313,0
SRR1785314,1
SRR1785315,1
SRR1785316,1
SRR1785317,1
SRR1785318,2
SRR1785319,2
SRR1785320,0
SRR1785321,0
SRR1785322,0
SRR1785323,0
SRR1785324,2
SRR1785325,2
