,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),43/93,9.02293538992298e-60,1.447278836543646e-56,0,0,93.20604395604396,12671.85901090201,RPL4;RPL30;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPL9;RPL7;RPS4X;RPS16;RPS15A;RPL18A;RPS18;RPL14;RPL35;RPLP2;RPL13;RPL37;RPL15;RPS2;RPL39;RPS13;RPL19;RPL41;RPL21;RPS8;RPS6;RPL13A;RPS3A;RPL23A;RPS25;RPS27;RPL37A;RPS20;RPL26;FAU;RPL29;RPS24;RPS23
1,GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),44/158,2.0317947288555984e-49,1.6294993725421899e-46,0,0,41.92517204613744,4700.555960329051,RPL4;RPL30;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPL9;RPL7;RPS4X;RPS16;RPS15A;RPL18A;RPS18;RPL14;RPL35;RPLP2;RPL13;RPL37;RPL15;RPS2;RPL39;RPS13;RPL19;RPL41;RPL21;RPS8;RPS6;RPL13A;RPS3A;RPL23A;EEF1A1;RPS25;RPS27;RPL37A;RPS20;RPL26;FAU;RPL29;RPS24;RPS23
2,GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),45/183,7.988180995698459e-48,4.27101410570011e-45,0,0,35.57427536231884,3857.892184302154,RPL4;RPL30;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPL9;RPL7;RPS4X;RPS16;RPS15A;RPL18A;RPS18;RPL14;RPL35;RPLP2;RPL13;RPL37;RPL15;RPS2;RPL39;RPS13;RPL19;RPL41;RPL21;RPS8;RPS6;RPL13A;RPS3A;RPL23A;EEF1A1;RPS25;RPS27;COL5A1;RPL37A;RPS20;RPL26;FAU;RPL29;RPS24;RPS23
3,GO_Biological_Process_2023,Translation (GO:0006412),44/234,3.309244746154933e-41,1.3270071432081284e-38,0,0,25.057865658621697,2335.6253362993134,RPL4;RPL30;RPL3;RPL10;RPL32;RPL12;RPLP1;RPL11;RPL8;RPL10A;RPL9;RPL7;RPS4X;RPS16;RPS15A;RPL18A;RPS18;RPL14;RPL13;RPL35;RPLP2;RPL15;RPL37;RPS2;RPL39;RPS13;RPL19;RPL41;RPL21;RPS8;RPS6;RPL13A;RPS3A;RPL23A;EEF1A1;RPS25;RPS27;RPL37A;RPS20;RPL26;FAU;RPL29;RPS24;RPS23
4,GO_Biological_Process_2023,Gene Expression (GO:0010467),45/296,7.909592388404703e-38,2.5373972382002287e-35,0,0,19.44621513944223,1661.293217950718,RPL4;RPL30;RPL3;RPL10;RPL32;RPL12;RPLP1;RPL11;RPL8;RPL10A;RPL9;RPL7;RPS4X;RPS16;RPS15A;RPL18A;RPS18;RPL14;RPL13;RPL35;RPLP2;RPL15;RPL37;RPS2;RPL39;RPS13;RPL19;RPL41;RPL21;RPS8;RPS6;RPL13A;RPS3A;RPL23A;EEF1A1;RPS25;TSPAN15;RPS27;RPL37A;RPS20;RPL26;FAU;RPL29;RPS24;RPS23
5,GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),16/118,3.2539717834395284e-13,8.698951234395005e-11,0,0,14.765362604371893,424.55924778099774,NPM1;RPS8;RPS6;RPL11;RPS3A;RPL7;RPS4X;RPS25;RPS16;RPS27;RPS15A;RPL14;RPL26;RPS13;RPS24;RPS23
6,GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),17/155,1.994082186244377e-12,4.5692968953371137e-10,0,0,11.630051560758082,313.32332605704795,NPM1;RPS8;RPS6;RPL11;RPS3A;RPL7;RPS4X;RPS25;RPS16;RPS27;RPS15A;RPL14;RPL26;NOP53;RPS13;RPS24;RPS23
7,GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),12/84,1.6968429584981422e-10,3.402170131788775e-08,0,0,15.417057902973395,346.8388079581443,RPS4X;RPS25;NPM1;RPS16;RPS15A;RPS27;RPS8;RPS6;RPS3A;RPS13;RPS24;RPS23
8,GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),10/91,7.713404745707604e-08,1.3747001346794442e-05,0,0,11.308641975308642,185.20978375527383,RPS25;RPS16;RPS27;RPS6;RPL11;RPL14;RPL26;NOP53;RPS24;RPL7
9,GO_Biological_Process_2023,Ribosomal Large Subunit Biogenesis (GO:0042273),8/54,1.510122982568582e-07,2.422237264040006e-05,0,0,15.811660989781608,248.33643840956776,NPM1;RPL10;RPL11;RPL14;RPL23A;RPL26;NOP53;RPL7
10,GO_Biological_Process_2023,ncRNA Processing (GO:0034470),10/100,1.9023416325713585e-07,2.7739599805858715e-05,0,0,10.17312661498708,157.4292369671697,RPS25;RPS16;RPS27;RPS6;RPL11;RPL14;RPL26;NOP53;RPS24;RPL7
11,GO_Biological_Process_2023,rRNA Processing (GO:0006364),10/101,2.090827733466353e-07,2.7947397370666915e-05,0,0,10.0608228980322,154.7408449362734,RPS25;RPS16;RPS27;RPS6;RPL11;RPL14;RPL26;NOP53;RPS24;RPL7
12,GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),6/42,7.09186189573813e-06,0.0008750266523664585,0,0,15.0220700152207,178.11011416582176,COL3A1;COL5A1;LOX;COL5A2;LOXL2;DDR2
13,GO_Biological_Process_2023,Skin Development (GO:0043588),7/68,1.1245880032430432e-05,0.0012884565408584,0,0,10.377349977440216,118.25518211408018,ASAH1;COL3A1;COL5A1;COL5A2;AKR1C3;TXNIP;DHCR24
14,GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),6/50,1.9931238009979885e-05,0.0021313137178671,0,0,12.285803237858032,132.97197967269972,NPM1;RPS27;RPL10;RPL11;RPL23A;NOP53
15,GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),11/205,2.1731811114215773e-05,0.0021786140642001,0,0,5.188144329896907,55.70372261930723,SPARC;SFRP2;SERPINF1;TNMD;LEP;APLNR;ATP2B4;ANGPTL4;RAPGEF3;THBS4;AQP1
16,GO_Biological_Process_2023,Cellular Response To Fatty Acid (GO:0071398),4/16,2.552391369294673e-05,0.0022744643090825,0,0,29.80844645550528,315.25099247493995,DGAT2;AKR1C3;PDK4;AKR1C2
17,GO_Biological_Process_2023,Prostanoid Metabolic Process (GO:0006692),4/16,2.552391369294673e-05,0.0022744643090825,0,0,29.80844645550528,315.25099247493995,AKR1C1;AKR1C3;AKR1C2;CES1
18,GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),10/176,3.168574879615252e-05,0.0026749442667909,0,0,5.494256094144018,56.918534669044234,COL3A1;CCDC80;ECM2;LOX;COL5A1;COL4A1;COL5A2;LAMC1;LOXL2;DDR2
