term_id,term_name,methods_significant,methods_total,clusterprofiler_pvalue,clusterprofiler_qvalue,clusterprofiler_p_adjust,clusterprofiler_fold_enrichment,clusterprofiler_gene_count,clusterprofiler_significant,gprofiler2_pvalue,gprofiler2_significant,gprofiler2_term_size,gprofiler2_intersection_size,gprofiler2_precision,gprofiler2_recall,topgo_pvalue,topgo_pvalue_raw,topgo_significant_flag,topgo_annotated,topgo_significant,topgo_expected,gseapy_pvalue,gseapy_adjusted_pvalue,gseapy_significant,gseapy_odds_ratio,gseapy_combined_score,gseapy_overlap,clusterprofiler_gene_ids,gseapy_genes
GO:0002181,cytoplasmic translation,4,4,2.9028468507697202e-52,7.82546398402238e-49,9.20783021064156e-49,23.9898756853591,47.0,True,5.65182902329177e-50,True,165.0,46.0,0.210045662100457,0.278787878787879,1e-30,< 1e-30,True,169.0,47.0,1.96,9.02293538992298e-60,1.447278836543646e-56,True,93.20604395604396,12671.85901090201,43/93,RPS20/EIF4B/RPL3/RPS16/RPL18A/RPL19/RPS13/RPS12/RPS25/RPL21/RPL23/RPS15A/RPL35/RPS6/RPLP1/RPS24/RPS2/RPL13A/RPL11/RPS8/RPL32/RPS3A/RPL37/RPL10/RPL7/FAU/RPL30/RPL8/RPL26/RPL29/RPL9/RPL13/RPL4/RPL15/RPLP2/RPS27/RPS23/RPL14/RPL37A/RPL12/RPS4X/RPL23A/RPL10A/RPL39/RPL41/RPS18/RPL36A,RPL4;RPL30;RPL3;RPL32;RPL10;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPL9;RPL7;RPS4X;RPS16;RPS15A;RPL18A;RPS18;RPL14;RPL35;RPLP2;RPL13;RPL37;RPL15;RPS2;RPL39;RPS13;RPL19;RPL41;RPL21;RPS8;RPS6;RPL13A;RPS3A;RPL23A;RPS25;RPS27;RPL37A;RPS20;RPL26;FAU;RPL29;RPS24;RPS23
GO:0042254,ribosome biogenesis,4,4,9.13478112255898e-10,8.20848226486791e-07,9.65850857358569e-07,5.44236390472607,20.0,True,5.66403181981476e-08,True,323.0,21.0,0.0958904109589041,0.065015479876161,9.1e-10,9.1e-10,True,317.0,20.0,3.67,1.994082186244377e-12,4.569296895337113e-10,True,11.630051560758082,313.32332605704795,17/155,RPS16/NOP53/RPS13/RPS12/RPS25/RPS15A/RPL35/RPS6/RPS24/RPL11/RPS8/RPS3A/RPL7/FAU/RPL26/RPS27/NPM1/RPS23/RPL14/RPS4X,NPM1;RPS8;RPS6;RPL11;RPS3A;RPL7;RPS4X;RPS25;RPS16;RPS27;RPS15A;RPL14;RPL26;NOP53;RPS13;RPS24;RPS23
GO:0042274,ribosomal small subunit biogenesis,4,4,2.7863116397619698e-11,3.75565479443705e-08,4.41909026066248e-08,11.182042133877,14.0,True,1.26202098992601e-07,True,104.0,13.0,0.0593607305936073,0.125,2.8e-11,2.8e-11,True,108.0,14.0,1.25,1.6968429584981422e-10,3.402170131788775e-08,True,15.417057902973395,346.8388079581443,12/84,RPS16/RPS13/RPS12/RPS25/RPS15A/RPS6/RPS24/RPS8/RPS3A/FAU/RPS27/NPM1/RPS23/RPS4X,RPS4X;RPS25;NPM1;RPS16;RPS15A;RPS27;RPS8;RPS6;RPS3A;RPS13;RPS24;RPS23
GO:0030199,collagen fibril organization,4,4,6.67742929184993e-09,4.50023589905991e-06,5.29520142843699e-06,12.5016620130302,10.0,True,8.07170454677071e-05,True,69.0,9.0,0.0410958904109589,0.130434782608696,6.7e-09,6.7e-09,True,69.0,10.0,0.8,7.09186189573813e-06,0.0008750266523664,True,15.0220700152207,178.11011416582176,6/42,AEBP1/LOX/FMOD/COL5A1/LOXL2/SFRP2/PLOD2/DDR2/COL3A1/COL5A2,COL3A1;COL5A1;LOX;COL5A2;LOXL2;DDR2
GO:0016072,rRNA metabolic process,4,4,6.48756347762493e-05,0.0087445526664197,0.0102892756755131,3.90617967803358,12.0,True,0.0484024190801703,True,266.0,12.0,0.0547945205479452,0.0451127819548872,6.5e-05,6.5e-05,True,265.0,12.0,3.07,7.713404745707604e-08,1.3747001346794442e-05,True,11.308641975308642,185.20978375527383,10/91,RPS16/NOP53/RPS25/RPL35/RPS6/RPS24/RPL11/RPS8/RPL7/RPL26/RPS27/RPL14,RPS25;RPS16;RPS27;RPS6;RPL11;RPL14;RPL26;NOP53;RPS24;RPL7
GO:0042273,ribosomal large subunit biogenesis,4,4,1.00564732806904e-05,0.0020853949855747,0.0024537794804884,9.28969654199012,7.0,True,9.17957938037221e-05,True,70.0,9.0,0.0410958904109589,0.128571428571429,1e-05,1.0e-05,True,65.0,7.0,0.75,1.510122982568582e-07,2.422237264040006e-05,True,15.811660989781608,248.33643840956776,8/54,NOP53/RPL35/RPL11/RPL7/RPL26/NPM1/RPL14,NPM1;RPL10;RPL11;RPL14;RPL23A;RPL26;NOP53;RPL7
GO:0006364,rRNA processing,4,4,1.13925626477722e-05,0.0021937107474394,0.0025812291941952,4.66278204810315,12.0,True,0.0089969096734078,True,225.0,12.0,0.0547945205479452,0.0533333333333333,1.1e-05,1.1e-05,True,222.0,12.0,2.57,2.090827733466353e-07,2.7947397370666915e-05,True,10.0608228980322,154.7408449362734,10/101,RPS16/NOP53/RPS25/RPL35/RPS6/RPS24/RPL11/RPS8/RPL7/RPL26/RPS27/RPL14,RPS25;RPS16;RPS27;RPS6;RPL11;RPL14;RPL26;NOP53;RPS24;RPL7
GO:0030198,extracellular matrix organization,4,4,4.76339877688707e-07,0.0001548783254796,0.0001822375423664,4.32579632486266,17.0,True,0.0001286997298542,True,327.0,17.0,0.0776255707762557,0.0519877675840979,4.8e-07,4.8e-07,True,339.0,17.0,3.93,3.168574879615252e-05,0.0026749442667909,True,5.494256094144018,56.918534669044234,10/176,CCDC80/CST3/CAV2/AEBP1/ECM2/LOX/FMOD/COL5A1/LOXL2/LAMC1/SFRP2/PLOD2/DDR2/COL3A1/COL4A1/EGFL6/COL5A2,COL3A1;CCDC80;ECM2;LOX;COL5A1;COL4A1;COL5A2;LAMC1;LOXL2;DDR2
GO:0043062,extracellular structure organization,4,4,4.96324350463242e-07,0.0001548783254796,0.0001822375423664,4.31307339449541,17.0,True,0.0001344977267812,True,328.0,17.0,0.0776255707762557,0.0518292682926829,5e-07,5.0e-07,True,340.0,17.0,3.94,0.0014660019139811,0.0486487431698814,True,5.232610719510573,34.14391712446318,6/109,CCDC80/CST3/CAV2/AEBP1/ECM2/LOX/FMOD/COL5A1/LOXL2/LAMC1/SFRP2/PLOD2/DDR2/COL3A1/COL4A1/EGFL6/COL5A2,COL3A1;CCDC80;ECM2;COL5A1;COL4A1;COL5A2
GO:0045229,external encapsulating structure organization,4,4,5.17067427899767e-07,0.0001548783254796,0.0001822375423664,4.30042508542065,17.0,True,0.0001405335701373,True,329.0,17.0,0.0776255707762557,0.0516717325227964,5.2e-07,5.2e-07,True,341.0,17.0,3.95,0.0015362839186001,0.0486487431698814,True,5.182033719704952,33.57122930682318,6/110,CCDC80/CST3/CAV2/AEBP1/ECM2/LOX/FMOD/COL5A1/LOXL2/LAMC1/SFRP2/PLOD2/DDR2/COL3A1/COL4A1/EGFL6/COL5A2,COL3A1;CCDC80;ECM2;COL5A1;COL4A1;COL5A2
