"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,5.65182902329177e-50,165,219,46,0.210045662100457,0.278787878787879,"GO:0002181","GO:BP","cytoplasmic translation",21026,727,"GO:0006412"
"query_1",TRUE,1.25332028206341e-24,727,219,51,0.232876712328767,0.0701513067400275,"GO:0006412","GO:BP","translation",21026,2162,"GO:0009059;GO:0010467;GO:0019538"
"query_1",TRUE,1.8131643136185e-10,1489,219,50,0.228310502283105,0.0335795836131632,"GO:0009719","GO:BP","response to endogenous stimulus",21026,3602,"GO:0050896"
"query_1",TRUE,3.48410973552312e-10,4721,219,98,0.447488584474886,0.0207583139165431,"GO:0019538","GO:BP","protein metabolic process",21026,5841,"GO:0043170;GO:0044238"
"query_1",TRUE,2.73282081390749e-08,3909,219,83,0.378995433789954,0.0212330519314403,"GO:0042221","GO:BP","response to chemical",21026,9956,"GO:0050896"
"query_1",TRUE,5.66403181981476e-08,323,219,21,0.0958904109589041,0.065015479876161,"GO:0042254","GO:BP","ribosome biogenesis",21026,9967,"GO:0022613"
"query_1",TRUE,1.26202098992601e-07,104,219,13,0.0593607305936073,0.125,"GO:0042274","GO:BP","ribosomal small subunit biogenesis",21026,9978,"GO:0022613;GO:0042254"
"query_1",TRUE,2.71578330960144e-07,2192,219,56,0.255707762557078,0.0255474452554745,"GO:0070887","GO:BP","cellular response to chemical stimulus",21026,16130,"GO:0042221;GO:0051716"
"query_1",TRUE,3.05608952278891e-07,732,219,30,0.136986301369863,0.040983606557377,"GO:0001568","GO:BP","blood vessel development",21026,351,"GO:0001944;GO:0048856"
"query_1",TRUE,7.34578329106953e-07,907,219,33,0.150684931506849,0.0363836824696803,"GO:0009725","GO:BP","response to hormone",21026,3608,"GO:0009719;GO:0042221"
"query_1",TRUE,7.98046563263855e-07,762,219,30,0.136986301369863,0.0393700787401575,"GO:0001944","GO:BP","vasculature development",21026,553,"GO:0048731;GO:0072359"
"query_1",TRUE,1.05968001773596e-06,2015,219,52,0.237442922374429,0.0258064516129032,"GO:0008283","GO:BP","cell population proliferation",21026,3136,"GO:0009987"
"query_1",TRUE,1.69642559848123e-06,1669,219,46,0.210045662100457,0.0275614140203715,"GO:1901700","GO:BP","response to oxygen-containing compound",21026,21371,"GO:0042221"
"query_1",TRUE,2.30342758473102e-06,1685,219,46,0.210045662100457,0.027299703264095,"GO:0042127","GO:BP","regulation of cell population proliferation",21026,9890,"GO:0008283;GO:0050794"
"query_1",TRUE,5.599454203844e-06,6553,219,110,0.502283105022831,0.0167862047916985,"GO:0032502","GO:BP","developmental process",21026,7558,"GO:0008150"
"query_1",TRUE,5.80243262040641e-06,635,219,26,0.118721461187215,0.0409448818897638,"GO:0048514","GO:BP","blood vessel morphogenesis",21026,12632,"GO:0001568;GO:0035239"
"query_1",TRUE,2.63293743305257e-05,1391,219,39,0.178082191780822,0.0280373831775701,"GO:0006629","GO:BP","lipid metabolic process",21026,2334,"GO:0044238"
"query_1",TRUE,2.65097625982381e-05,8999,219,135,0.616438356164384,0.0150016668518724,"GO:0050896","GO:BP","response to stimulus",21026,13167,"GO:0008150"
"query_1",TRUE,4.21630791695988e-05,5997,219,101,0.461187214611872,0.0168417542104386,"GO:0048856","GO:BP","anatomical structure development",21026,12931,"GO:0032502"
"query_1",TRUE,4.67344380420529e-05,6264,219,104,0.474885844748858,0.016602809706258,"GO:0048518","GO:BP","positive regulation of biological process",21026,12634,"GO:0008150;GO:0050789"
"query_1",TRUE,8.07170454677071e-05,69,219,9,0.0410958904109589,0.130434782608696,"GO:0030199","GO:BP","collagen fibril organization",21026,6675,"GO:0030198;GO:0097435"
"query_1",TRUE,9.17957938037221e-05,70,219,9,0.0410958904109589,0.128571428571429,"GO:0042273","GO:BP","ribosomal large subunit biogenesis",21026,9977,"GO:0022613;GO:0042254"
"query_1",TRUE,9.6300811318942e-05,2032,219,48,0.219178082191781,0.0236220472440945,"GO:0009888","GO:BP","tissue development",21026,3733,"GO:0048856"
"query_1",TRUE,9.86147335834586e-05,5920,219,99,0.452054794520548,0.016722972972973,"GO:0048522","GO:BP","positive regulation of cellular process",21026,12638,"GO:0009987;GO:0048518;GO:0050794"
"query_1",TRUE,9.97657925374775e-05,1223,219,35,0.159817351598174,0.0286181520850368,"GO:0071495","GO:BP","cellular response to endogenous stimulus",21026,16497,"GO:0009719"
"query_1",TRUE,0.000109223490103514,3085,219,63,0.287671232876712,0.0204213938411669,"GO:0048513","GO:BP","animal organ development",21026,12631,"GO:0048856"
"query_1",TRUE,0.000128699729854251,327,219,17,0.0776255707762557,0.0519877675840979,"GO:0030198","GO:BP","extracellular matrix organization",21026,6674,"GO:0043062;GO:0045229"
"query_1",TRUE,0.000134497726781204,328,219,17,0.0776255707762557,0.0518292682926829,"GO:0043062","GO:BP","extracellular structure organization",21026,10414,"GO:0016043"
"query_1",TRUE,0.000140533570137318,329,219,17,0.0776255707762557,0.0516717325227964,"GO:0045229","GO:BP","external encapsulating structure organization",21026,11178,"GO:0016043"
"query_1",TRUE,0.000285043289429599,1101,219,32,0.146118721461187,0.0290644868301544,"GO:0035295","GO:BP","tube development",21026,8887,"GO:0007275;GO:0048856"
"query_1",TRUE,0.000391645012057345,60,219,8,0.0365296803652968,0.133333333333333,"GO:0070542","GO:BP","response to fatty acid",21026,15943,"GO:0033993;GO:1901700"
"query_1",TRUE,0.000465046939383868,954,219,29,0.132420091324201,0.030398322851153,"GO:0008284","GO:BP","positive regulation of cell population proliferation",21026,3137,"GO:0008283;GO:0042127;GO:0048522"
"query_1",TRUE,0.000548501202769673,362,219,17,0.0776255707762557,0.0469613259668508,"GO:0006066","GO:BP","alcohol metabolic process",21026,1929,"GO:0044281"
"query_1",TRUE,0.000683689978922574,1145,219,32,0.146118721461187,0.0279475982532751,"GO:0072359","GO:BP","circulatory system development",21026,17136,"GO:0048731"
"query_1",TRUE,0.000929226232709504,930,219,28,0.127853881278539,0.0301075268817204,"GO:0033993","GO:BP","response to lipid",21026,8310,"GO:0042221"
"query_1",TRUE,0.000956458829676942,4437,219,78,0.356164383561644,0.017579445571332,"GO:0030154","GO:BP","cell differentiation",21026,6654,"GO:0048869"
"query_1",TRUE,0.00096553165896557,4438,219,78,0.356164383561644,0.0175754844524561,"GO:0048869","GO:BP","cellular developmental process",21026,12943,"GO:0009987;GO:0032502"
"query_1",TRUE,0.00103071036527574,879,219,27,0.123287671232877,0.0307167235494881,"GO:0035239","GO:BP","tube morphogenesis",21026,8855,"GO:0009653;GO:0035295"
"query_1",TRUE,0.00113627063516423,721,219,24,0.10958904109589,0.0332871012482663,"GO:0070848","GO:BP","response to growth factor",21026,16112,"GO:0009719"
"query_1",TRUE,0.00114202395231882,1736,219,41,0.187214611872146,0.0236175115207373,"GO:0042592","GO:BP","homeostatic process",21026,10159,"GO:0008150"
"query_1",TRUE,0.0017650960194329,1506,219,37,0.168949771689498,0.0245683930942895,"GO:0043067","GO:BP","regulation of programmed cell death",21026,10418,"GO:0012501;GO:0050794"
"query_1",TRUE,0.00189117810186841,689,219,23,0.105022831050228,0.0333817126269956,"GO:0071363","GO:BP","cellular response to growth factor stimulus",21026,16385,"GO:0070848;GO:0071495"
"query_1",TRUE,0.00205695145326523,1776,219,41,0.187214611872146,0.0230855855855856,"GO:0044281","GO:BP","small molecule metabolic process",21026,10850,"GO:0008152"
"query_1",TRUE,0.00241111650467893,1462,219,36,0.164383561643836,0.0246238030095759,"GO:0042981","GO:BP","regulation of apoptotic process",21026,10372,"GO:0006915;GO:0043067"
"query_1",TRUE,0.00245290343162988,1855,219,42,0.191780821917808,0.0226415094339623,"GO:0051246","GO:BP","regulation of protein metabolic process",21026,13411,"GO:0019538;GO:0060255;GO:0080090"
"query_1",TRUE,0.0025423155814505,547,219,20,0.091324200913242,0.036563071297989,"GO:0001525","GO:BP","angiogenesis",21026,328,"GO:0048514;GO:0048646"
"query_1",TRUE,0.00406376753174002,1182,219,31,0.141552511415525,0.0262267343485618,"GO:1901701","GO:BP","cellular response to oxygen-containing compound",21026,21372,"GO:0070887;GO:1901700"
"query_1",TRUE,0.00423309287573034,37,219,6,0.0273972602739726,0.162162162162162,"GO:0071398","GO:BP","cellular response to fatty acid",21026,16420,"GO:0070542;GO:0071396;GO:1901701"
"query_1",TRUE,0.00531259767056875,1578,219,37,0.168949771689498,0.023447401774398,"GO:0009967","GO:BP","positive regulation of signal transduction",21026,3790,"GO:0007165;GO:0009966;GO:0010647;GO:0023056;GO:0048584"
"query_1",TRUE,0.00544170256624894,2331,219,48,0.219178082191781,0.0205920205920206,"GO:0048584","GO:BP","positive regulation of response to stimulus",21026,12688,"GO:0048518;GO:0048583;GO:0050896"
"query_1",TRUE,0.00569355695042014,1080,219,29,0.132420091324201,0.0268518518518519,"GO:1901698","GO:BP","response to nitrogen compound",21026,21369,"GO:0042221"
"query_1",TRUE,0.00616365784932293,180,219,11,0.0502283105022831,0.0611111111111111,"GO:0048771","GO:BP","tissue remodeling",21026,12853,"GO:0032501"
"query_1",TRUE,0.00840463293649039,3486,219,63,0.287671232876712,0.0180722891566265,"GO:0010646","GO:BP","regulation of cell communication",21026,4275,"GO:0007154;GO:0050794"
"query_1",TRUE,0.00884876679495931,4,219,3,0.0136986301369863,0.75,"GO:0071395","GO:BP","cellular response to jasmonic acid stimulus",21026,16417,"GO:0009753;GO:0032870;GO:0071398"
"query_1",TRUE,0.00884876679495931,4,219,3,0.0136986301369863,0.75,"GO:0009753","GO:BP","response to jasmonic acid",21026,3635,"GO:0009725;GO:0070542"
"query_1",TRUE,0.00899690967340789,225,219,12,0.0547945205479452,0.0533333333333333,"GO:0006364","GO:BP","rRNA processing",21026,2132,"GO:0006396;GO:0016072;GO:0042254"
"query_1",TRUE,0.00993503864917716,400,219,16,0.0730593607305936,0.04,"GO:0006631","GO:BP","fatty acid metabolic process",21026,2335,"GO:0006629;GO:0032787"
"query_1",TRUE,0.0104580434143084,1238,219,31,0.141552511415525,0.0250403877221325,"GO:0060429","GO:BP","epithelium development",21026,14416,"GO:0009888"
"query_1",TRUE,0.0106143300260713,356,219,15,0.0684931506849315,0.0421348314606742,"GO:0031589","GO:BP","cell-substrate adhesion",21026,7193,"GO:0007155"
"query_1",TRUE,0.0106177734081768,12,219,4,0.0182648401826484,0.333333333333333,"GO:2001046","GO:BP","positive regulation of integrin-mediated signaling pathway",21026,25839,"GO:0007229;GO:0009967;GO:2001044"
"query_1",TRUE,0.0151345982698343,616,219,20,0.091324200913242,0.0324675324675325,"GO:0032787","GO:BP","monocarboxylic acid metabolic process",21026,7765,"GO:0019752"
"query_1",TRUE,0.0152592589936238,2713,219,52,0.237442922374429,0.0191669738297088,"GO:0009653","GO:BP","anatomical structure morphogenesis",21026,3557,"GO:0032502;GO:0048856"
"query_1",TRUE,0.0162116592206868,3478,219,62,0.28310502283105,0.0178263369752731,"GO:0023051","GO:BP","regulation of signaling",21026,6606,"GO:0023052;GO:0050789"
"query_1",TRUE,0.0168179851307223,1795,219,39,0.178082191780822,0.0217270194986072,"GO:0010647","GO:BP","positive regulation of cell communication",21026,4276,"GO:0007154;GO:0010646;GO:0048522"
"query_1",TRUE,0.0170374258752792,1796,219,39,0.178082191780822,0.0217149220489978,"GO:0023056","GO:BP","positive regulation of signaling",21026,6608,"GO:0023051;GO:0023052;GO:0048518"
"query_1",TRUE,0.0177972137668583,677,219,21,0.0958904109589041,0.0310192023633678,"GO:0051248","GO:BP","negative regulation of protein metabolic process",21026,13413,"GO:0010605;GO:0019538;GO:0051246"
"query_1",TRUE,0.0186839987228667,1534,219,35,0.159817351598174,0.0228161668839635,"GO:0016477","GO:BP","cell migration",21026,5204,"GO:0048870"
"query_1",TRUE,0.0189349235767899,28,219,5,0.0228310502283105,0.178571428571429,"GO:1901798","GO:BP","positive regulation of signal transduction by p53 class mediator",21026,21460,"GO:0072331;GO:1901796;GO:1902533"
"query_1",TRUE,0.0189739373203775,3034,219,56,0.255707762557078,0.018457481872116,"GO:0009966","GO:BP","regulation of signal transduction",21026,3789,"GO:0007165;GO:0010646;GO:0023051;GO:0048583"
"query_1",TRUE,0.0200792210278922,970,219,26,0.118721461187215,0.0268041237113402,"GO:0007167","GO:BP","enzyme-linked receptor protein signaling pathway",21026,2718,"GO:0007166"
"query_1",TRUE,0.0219515306853717,5,219,3,0.0136986301369863,0.6,"GO:2000491","GO:BP","positive regulation of hepatic stellate cell activation",21026,25355,"GO:0035733;GO:0050867;GO:2000489"
"query_1",TRUE,0.0228650432432119,2457,219,48,0.219178082191781,0.0195360195360195,"GO:0050793","GO:BP","regulation of developmental process",21026,13089,"GO:0032502;GO:0050789"
"query_1",TRUE,0.0237622972400464,746,219,22,0.100456621004566,0.0294906166219839,"GO:0030855","GO:BP","epithelial cell differentiation",21026,6901,"GO:0030154;GO:0060429"
"query_1",TRUE,0.0238407152537229,861,219,24,0.10958904109589,0.0278745644599303,"GO:0097435","GO:BP","supramolecular fiber organization",21026,18414,"GO:0016043"
"query_1",TRUE,0.0254765812573272,292,219,13,0.0593607305936073,0.0445205479452055,"GO:0061448","GO:BP","connective tissue development",21026,15267,"GO:0009888"
"query_1",TRUE,0.0304779478845975,874,219,24,0.10958904109589,0.0274599542334096,"GO:0043066","GO:BP","negative regulation of apoptotic process",21026,10417,"GO:0006915;GO:0042981;GO:0043069"
"query_1",TRUE,0.0334707354651118,441,219,16,0.0730593607305936,0.036281179138322,"GO:0050673","GO:BP","epithelial cell proliferation",21026,13036,"GO:0008283"
"query_1",TRUE,0.0387500779856549,887,219,24,0.10958904109589,0.0270574971815107,"GO:0019752","GO:BP","carboxylic acid metabolic process",21026,6004,"GO:0043436"
"query_1",TRUE,0.0459126500835406,4727,219,76,0.34703196347032,0.0160778506452295,"GO:0007275","GO:BP","multicellular organism development",21026,2788,"GO:0032501;GO:0048856"
"query_1",TRUE,0.0484024190801703,266,219,12,0.0547945205479452,0.0451127819548872,"GO:0016072","GO:BP","rRNA metabolic process",21026,5074,"GO:0016070"
"query_1",TRUE,0.0500826471012539,1953,219,40,0.182648401826484,0.0204813108038914,"GO:1902531","GO:BP","regulation of intracellular signal transduction",21026,22041,"GO:0009966;GO:0035556"
"query_1",TRUE,0.050430964398825,962,219,25,0.114155251141553,0.025987525987526,"GO:1901652","GO:BP","response to peptide",21026,21338,"GO:0042221"
"query_1",TRUE,0.0535637979287895,905,219,24,0.10958904109589,0.0265193370165746,"GO:0043069","GO:BP","negative regulation of programmed cell death",21026,10420,"GO:0012501;GO:0043067;GO:0048523"
"query_1",TRUE,0.0540399143419688,269,219,12,0.0547945205479452,0.0446096654275093,"GO:0071559","GO:BP","response to transforming growth factor beta",21026,16530,"GO:0070848"
"query_1",TRUE,0.057482038368206,909,219,24,0.10958904109589,0.0264026402640264,"GO:0043436","GO:BP","oxoacid metabolic process",21026,10596,"GO:0006082"
"query_1",TRUE,0.0590497514845587,116,219,8,0.0365296803652968,0.0689655172413793,"GO:0007229","GO:BP","integrin-mediated signaling pathway",21026,2766,"GO:0007166"
"query_1",TRUE,0.0604691273150285,364,219,14,0.0639269406392694,0.0384615384615385,"GO:0050678","GO:BP","regulation of epithelial cell proliferation",21026,13041,"GO:0042127;GO:0050673"
"query_1",TRUE,0.0638460227354348,915,219,24,0.10958904109589,0.0262295081967213,"GO:0006082","GO:BP","organic acid metabolic process",21026,1943,"GO:0044281"
"query_1",TRUE,0.0664904997310601,320,219,13,0.0593607305936073,0.040625,"GO:0019216","GO:BP","regulation of lipid metabolic process",21026,5563,"GO:0006629;GO:0080090"
"query_1",TRUE,0.0696245297371793,1043,219,26,0.118721461187215,0.024928092042186,"GO:0048878","GO:BP","chemical homeostasis",21026,12950,"GO:0042592"
"query_1",TRUE,0.0702118051670625,5629,219,86,0.392694063926941,0.0152780245158998,"GO:0048523","GO:BP","negative regulation of cellular process",21026,12639,"GO:0009987;GO:0048519;GO:0050794"
"query_1",TRUE,0.0754267048770795,4053,219,67,0.305936073059361,0.0165309647174932,"GO:0048731","GO:BP","system development",21026,12821,"GO:0007275;GO:0048856"
"query_1",TRUE,0.0756522453464707,7,219,3,0.0136986301369863,0.428571428571429,"GO:2000489","GO:BP","regulation of hepatic stellate cell activation",21026,25353,"GO:0035733;GO:0050865"
"query_1",TRUE,0.0779215878716731,6515,219,96,0.438356164383562,0.014735226400614,"GO:0023052","GO:BP","signaling",21026,6607,"GO:0050789"
"query_1",TRUE,0.0797871935635194,2956,219,53,0.242009132420091,0.0179296346414073,"GO:0051239","GO:BP","regulation of multicellular organismal process",21026,13407,"GO:0032501;GO:0050789"
"query_1",TRUE,0.082937797461607,2433,219,46,0.210045662100457,0.0189066995478833,"GO:0051128","GO:BP","regulation of cellular component organization",21026,13332,"GO:0016043;GO:0050794"
"query_1",TRUE,0.0841228409543014,638,219,19,0.0867579908675799,0.0297805642633229,"GO:0032870","GO:BP","cellular response to hormone stimulus",21026,7810,"GO:0009725;GO:0070887;GO:0071495"
"query_1",TRUE,0.0918177091255796,6540,219,96,0.438356164383562,0.0146788990825688,"GO:0007154","GO:BP","cell communication",21026,2705,"GO:0009987"
"query_1",TRUE,0.0973373971451483,20,219,4,0.0182648401826484,0.2,"GO:2001044","GO:BP","regulation of integrin-mediated signaling pathway",21026,25837,"GO:0007229;GO:0009966"
"query_1",TRUE,0.0973604306053236,645,219,19,0.0867579908675799,0.0294573643410853,"GO:1901699","GO:BP","cellular response to nitrogen compound",21026,21370,"GO:0070887;GO:1901698"
"query_1",TRUE,0.0987578416782065,63,219,6,0.0273972602739726,0.0952380952380952,"GO:0042255","GO:BP","ribosome assembly",21026,9968,"GO:0042254;GO:0140694"
"query_1",TRUE,0.0999943207892309,92,219,7,0.0319634703196347,0.0760869565217391,"GO:0042632","GO:BP","cholesterol homeostasis",21026,10172,"GO:0055092"
"query_1",TRUE,0.101059525400755,39,219,5,0.0228310502283105,0.128205128205128,"GO:0071711","GO:BP","basement membrane organization",21026,16644,"GO:0030198"
"query_1",TRUE,0.106331256985768,1530,219,33,0.150684931506849,0.0215686274509804,"GO:0007155","GO:BP","cell adhesion",21026,2706,"GO:0009987"
"query_1",TRUE,0.107187991734829,93,219,7,0.0319634703196347,0.0752688172043011,"GO:0055092","GO:BP","sterol homeostasis",21026,14035,"GO:0055088"
"query_1",TRUE,0.108110659363453,1199,219,28,0.127853881278539,0.0233527939949958,"GO:0048646","GO:BP","anatomical structure formation involved in morphogenesis",21026,12737,"GO:0009653;GO:0032502"
"query_1",TRUE,0.109821528601569,947,219,24,0.10958904109589,0.0253431890179514,"GO:0034097","GO:BP","response to cytokine",21026,8345,"GO:1901652"
"query_1",TRUE,0.11171394251151,7376,219,105,0.47945205479452,0.0142353579175705,"GO:0051716","GO:BP","cellular response to stimulus",21026,13719,"GO:0009987;GO:0050896"
"query_1",TRUE,0.118373745593922,3948,219,65,0.296803652968037,0.0164640324214792,"GO:0006950","GO:BP","response to stress",21026,2571,"GO:0050896"
"query_1",TRUE,0.123690686482479,340,219,13,0.0593607305936073,0.0382352941176471,"GO:0048545","GO:BP","response to steroid hormone",21026,12659,"GO:0009725;GO:0033993"
"query_1",TRUE,0.129052050049435,1343,219,30,0.136986301369863,0.0223380491437081,"GO:0051094","GO:BP","positive regulation of developmental process",21026,13316,"GO:0032502;GO:0048518;GO:0050793"
"query_1",TRUE,0.132116598202569,167,219,9,0.0410958904109589,0.0538922155688623,"GO:0055088","GO:BP","lipid homeostasis",21026,14031,"GO:0048878"
"query_1",TRUE,0.145289427134207,2415,219,45,0.205479452054795,0.0186335403726708,"GO:0009605","GO:BP","response to external stimulus",21026,3519,"GO:0050896"
"query_1",TRUE,0.15724222035684,5834,219,87,0.397260273972603,0.0149125814192664,"GO:0048519","GO:BP","negative regulation of biological process",21026,12635,"GO:0008150;GO:0050789"
"query_1",TRUE,0.160889592164037,613,219,18,0.0821917808219178,0.0293637846655791,"GO:0071396","GO:BP","cellular response to lipid",21026,16418,"GO:0033993;GO:0070887"
"query_1",TRUE,0.163814372422194,729,219,20,0.091324200913242,0.0274348422496571,"GO:0008610","GO:BP","lipid biosynthetic process",21026,3192,"GO:0006629;GO:0009058"
"query_1",TRUE,0.164170193244669,1634,219,34,0.155251141552511,0.0208078335373317,"GO:0009607","GO:BP","response to biotic stimulus",21026,3521,"GO:0050896"
"query_1",TRUE,0.169036557332424,452,219,15,0.0684931506849315,0.0331858407079646,"GO:0043269","GO:BP","regulation of monoatomic ion transport",21026,10497,"GO:0006811;GO:0051049"
"query_1",TRUE,0.170538964698757,351,219,13,0.0593607305936073,0.037037037037037,"GO:0010038","GO:BP","response to metal ion",21026,3832,"GO:0042221"
"query_1",TRUE,0.178783956841877,9,219,3,0.0136986301369863,0.333333333333333,"GO:0035733","GO:BP","hepatic stellate cell activation",21026,9130,"GO:0072537"
"query_1",TRUE,0.178783956841877,9,219,3,0.0136986301369863,0.333333333333333,"GO:0044597","GO:BP","daunorubicin metabolic process",21026,10956,"GO:0030638;GO:0030647;GO:0042180"
"query_1",TRUE,0.181482253845466,794,219,21,0.0958904109589041,0.026448362720403,"GO:0030155","GO:BP","regulation of cell adhesion",21026,6655,"GO:0007155;GO:0050794"
"query_1",TRUE,0.187863238994267,1576,219,33,0.150684931506849,0.0209390862944162,"GO:0045595","GO:BP","regulation of cell differentiation",21026,11284,"GO:0030154;GO:0050793;GO:0050794"
"query_1",TRUE,0.194400597923126,217,219,10,0.045662100456621,0.0460829493087558,"GO:0010810","GO:BP","regulation of cell-substrate adhesion",21026,4405,"GO:0030155;GO:0031589"
"query_1",TRUE,0.201194885198073,262,219,11,0.0502283105022831,0.0419847328244275,"GO:0071560","GO:BP","cellular response to transforming growth factor beta stimulus",21026,16531,"GO:0071363;GO:0071559"
"query_1",TRUE,0.202656744808196,1113,219,26,0.118721461187215,0.0233602875112309,"GO:1902533","GO:BP","positive regulation of intracellular signal transduction",21026,22043,"GO:0009967;GO:0035556;GO:1902531"
"query_1",TRUE,0.203775532837075,1793,219,36,0.164383561643836,0.0200780814277747,"GO:0048870","GO:BP","cell motility",21026,12944,"GO:0009987"
"query_1",TRUE,0.205343206149278,103,219,7,0.0319634703196347,0.0679611650485437,"GO:0034308","GO:BP","primary alcohol metabolic process",21026,8499,"GO:0006066"
"query_1",TRUE,0.205343206149278,103,219,7,0.0319634703196347,0.0679611650485437,"GO:0032231","GO:BP","regulation of actin filament bundle assembly",21026,7367,"GO:0044087;GO:0051017;GO:0110053"
"query_1",TRUE,0.206614860960167,24,219,4,0.0182648401826484,0.166666666666667,"GO:0000027","GO:BP","ribosomal large subunit assembly",21026,12,"GO:0022618;GO:0042255;GO:0042273"
"query_1",TRUE,0.215992136116396,2,219,2,0.0091324200913242,1,"GO:0060587","GO:BP","regulation of lipoprotein lipid oxidation",21026,14556,"GO:0019216;GO:0034439;GO:0034442"
"query_1",TRUE,0.215992136116396,2,219,2,0.0091324200913242,1,"GO:0042160","GO:BP","lipoprotein modification",21026,9906,"GO:0042157"
"query_1",TRUE,0.215992136116396,2,219,2,0.0091324200913242,1,"GO:0042161","GO:BP","lipoprotein oxidation",21026,9907,"GO:0042160"
"query_1",TRUE,0.215992136116396,2,219,2,0.0091324200913242,1,"GO:0034439","GO:BP","lipoprotein lipid oxidation",21026,8569,"GO:0034440;GO:0042161"
"query_1",TRUE,0.215992136116396,2,219,2,0.0091324200913242,1,"GO:0034442","GO:BP","regulation of lipoprotein oxidation",21026,8572,"GO:0042161;GO:0050746"
"query_1",TRUE,0.220430054040505,928,219,23,0.105022831050228,0.0247844827586207,"GO:0050790","GO:BP","regulation of catalytic activity",21026,13087,"GO:0065009"
"query_1",TRUE,0.222383501628062,629,219,18,0.0821917808219178,0.0286168521462639,"GO:0007169","GO:BP","cell surface receptor protein tyrosine kinase signaling pathway",21026,2720,"GO:0007167"
