gene,num_models
6074,4
4504,4
3152,4
5710,4
13764,4
13960,4
3606,4
2131,4
2098,4
10543,4
4107,4
2940,4
9766,4
16438,4
6651,4
7022,4
19103,4
980,4
4718,4
8877,3
6893,3
12932,3
6748,3
12585,3
6892,3
3482,3
5157,3
11138,3
6917,3
3987,3
10494,3
10110,3
4112,3
7441,3
7665,3
9640,3
9174,3
3028,3
40705,3
13198,3
2067,3
1286,3
16946,3
17035,3
17182,3
15749,3
15618,3
14946,3
1988,3
14920,3
26740,3
27902,3
19055,2
17233,2
8714,2
24221,2
6980,2
6511,2
7345,2
16972,2
6390,2
6309,2
8190,2
8618,2
8634,2
16703,2
16882,2
10581,2
13488,2
13531,2
12677,2
13539,2
12462,2
14120,2
10633,2
16027,2
16721,2
16368,2
9888,2
16502,2
9649,2
16538,2
13389,2
8984,2
12778,2
7525,2
5639,2
4946,2
4485,2
1912,2
4750,2
1824,2
4469,2
1690,2
4764,2
2246,2
1154,2
4015,2
993,2
943,2
1139,2
3771,2
5201,2
2557,2
2517,1
14346,1
3422,1
3342,1
12898,1
1992,1
2217,1
3324,1
13065,1
14399,1
13077,1
14354,1
13150,1
14167,1
2564,1
13983,1
2258,1
2296,1
2358,1
13263,1
15439,1
2389,1
13276,1
15377,1
15704,1
15492,1
15508,1
37896,1
36255,1
35108,1
276,1
336,1
26571,1
615,1
652,1
886,1
19052,1
19025,1
17266,1
898,1
1031,1
1044,1
1187,1
16544,1
1377,1
1558,1
1584,1
1605,1
16327,1
16255,1
15957,1
15756,1
12566,1
15643,1
3457,1
11282,1
3470,1
8411,1
8269,1
4762,1
7961,1
7951,1
7678,1
7651,1
147,1
7523,1
7501,1
7474,1
4810,1
4848,1
7238,1
7139,1
7082,1
4873,1
6919,1
5014,1
5070,1
5187,1
6725,1
5302,1
6517,1
5332,1
6438,1
5430,1
5472,1
5510,1
6018,1
8410,1
8567,1
12303,1
4760,1
12287,1
12262,1
5913,1
11165,1
3696,1
11116,1
10962,1
10923,1
3755,1
10570,1
3797,1
10511,1
10501,1
10375,1
10278,1
10267,1
10238,1
4079,1
9893,1
4148,1
4213,1
4400,1
9267,1
9256,1
4535,1
4536,1
8737,1
4742,1
8675,1
104,1
