"GO.ID","Term","Annotated","Significant","Expected","fisher"
"GO:0002181","cytoplasmic translation",169,47,1.96,"< 1e-30"
"GO:0006412","translation",754,51,8.74,"4.2e-25"
"GO:0019538","protein metabolic process",4486,99,52,"2.1e-12"
"GO:0042274","ribosomal small subunit biogenesis",108,14,1.25,"2.8e-11"
"GO:0009719","response to endogenous stimulus",1608,50,18.64,"7.6e-11"
"GO:0042254","ribosome biogenesis",317,20,3.67,"9.1e-10"
"GO:0009725","response to hormone",961,34,11.14,"5.9e-09"
"GO:0030199","collagen fibril organization",69,10,0.8,"6.7e-09"
"GO:0022613","ribonucleoprotein complex biogenesis",494,23,5.73,"1.6e-08"
"GO:0070887","cellular response to chemical stimulus",2264,56,26.25,"2.2e-08"
"GO:0001568","blood vessel development",821,30,9.52,"2.5e-08"
"GO:1901700","response to oxygen-containing compound",1753,47,20.32,"3.7e-08"
"GO:0042221","response to chemical",4061,82,47.08,"4.5e-08"
"GO:0001944","vasculature development",856,30,9.92,"6.4e-08"
"GO:0006629","lipid metabolic process",1394,39,16.16,"2.3e-07"
"GO:0048514","blood vessel morphogenesis",730,26,8.46,"3.8e-07"
"GO:0070542","response to fatty acid",60,8,0.7,"4.4e-07"
"GO:0008283","cell population proliferation",2093,50,24.26,"4.5e-07"
"GO:0042127","regulation of cell population proliferat...",1786,45,20.7,"4.6e-07"
"GO:0030198","extracellular matrix organization",339,17,3.93,"4.8e-07"
"GO:0043062","extracellular structure organization",340,17,3.94,"5.0e-07"
"GO:0045229","external encapsulating structure organiz...",341,17,3.95,"5.2e-07"
"GO:0006066","alcohol metabolic process",368,17,4.27,"1.5e-06"
"GO:0033993","response to lipid",949,29,11,"1.8e-06"
"GO:0009888","tissue development",2066,47,23.95,"4.3e-06"
"GO:0008284","positive regulation of cell population p...",992,29,11.5,"4.3e-06"
"GO:0071398","cellular response to fatty acid",38,6,0.44,"4.6e-06"
"GO:0071495","cellular response to endogenous stimulus",1337,35,15.5,"4.7e-06"
"GO:0032502","developmental process",6708,110,77.76,"4.9e-06"
